customer_id,tenure_months,monthly_charge,support_calls_3m,late_payments_6m,satisfaction_score,weekly_usage_hours,auto_pay,churn
CUST-0117,37,64.75,4,2,3,31.1,0,0
CUST-0118,17,77.63,2,1,3,22.2,1,1
CUST-0119,3,46.37,3,2,4,12.4,1,0
CUST-0120,12,64.78,2,1,2,26.4,1,0
CUST-0121,72,61.21,2,4,2,18.1,1,1
CUST-0122,15,43.11,2,0,4,37.1,0,0
CUST-0123,6,36.86,4,1,3,22.0,0,0
CUST-0124,72,77.34,0,1,3,4.1,1,0
CUST-0125,12,58.68,4,1,2,24.9,1,1
CUST-0126,72,46.6,0,1,3,37.6,1,0
CUST-0127,23,63.27,2,2,3,34.6,1,1
CUST-0128,72,85.3,4,1,4,36.6,0,0
CUST-0129,25,23.95,3,0,3,13.8,1,0
CUST-0130,40,38.06,2,1,5,29.3,1,0
CUST-0131,27,48.39,6,1,3,16.2,1,0
CUST-0132,25,91.3,3,2,3,23.8,0,1
CUST-0133,35,70.09,5,4,5,11.8,0,1
CUST-0134,41,78.81,2,1,4,16.8,1,0
CUST-0135,33,44.48,3,2,3,16.6,1,0
CUST-0136,31,44.85,1,1,3,29.2,1,0
CUST-0137,17,73.06,3,2,5,28.4,0,0
CUST-0138,28,66.05,3,2,5,24.2,1,1
CUST-0139,72,74.88,2,1,3,11.2,1,0
CUST-0140,16,61.62,1,1,3,19.5,0,0
CUST-0141,36,70.01,1,2,4,16.0,0,0
CUST-0142,64,67.85,4,1,3,29.0,1,0
CUST-0143,42,79.0,4,2,3,31.4,1,1
CUST-0144,55,79.53,0,0,4,30.5,1,0
CUST-0145,12,35.84,3,3,5,16.0,0,1
CUST-0146,36,24.55,3,1,5,2.0,1,0
CUST-0147,24,83.03,2,0,3,7.9,0,0
CUST-0148,25,86.38,0,2,3,33.4,0,0
CUST-0149,72,46.63,2,1,4,18.8,1,0
CUST-0150,25,31.52,3,1,3,16.0,0,0
CUST-0151,37,66.78,0,1,4,35.1,1,0
CUST-0152,6,81.76,2,1,3,32.1,1,0
CUST-0153,72,97.36,2,0,3,22.2,0,0
CUST-0154,53,74.29,6,1,3,19.7,1,1
CUST-0155,29,58.31,6,1,5,20.9,1,0
CUST-0156,23,48.92,2,3,3,23.8,1,0
CUST-0157,44,65.21,1,1,5,34.8,1,0
CUST-0158,64,59.61,0,1,3,25.4,1,0
CUST-0159,72,46.73,4,0,4,27.8,0,0
CUST-0160,52,101.88,1,1,5,31.4,0,0
CUST-0161,31,97.13,2,1,2,12.6,0,0
CUST-0162,57,85.45,3,0,2,28.0,0,1
CUST-0163,50,48.42,1,1,5,19.6,1,1
CUST-0164,31,80.39,2,1,3,2.0,0,1
CUST-0165,49,76.51,2,1,3,5.0,1,0
CUST-0166,49,72.97,5,2,3,13.9,1,0
CUST-0167,28,87.49,1,2,4,26.2,0,0
CUST-0168,20,76.44,4,1,3,22.9,1,0
CUST-0169,46,78.32,3,2,3,23.5,1,0
CUST-0170,13,76.46,2,1,4,37.6,1,0
CUST-0171,10,71.13,2,2,2,11.8,1,1
CUST-0172,37,32.89,3,3,3,21.8,1,0
CUST-0173,45,66.51,3,2,3,24.4,1,0
CUST-0174,37,54.99,0,1,2,16.1,0,1
CUST-0175,40,41.96,2,2,3,22.2,1,0
CUST-0176,45,95.27,0,0,4,9.2,1,0
CUST-0177,72,96.12,4,1,3,33.3,1,0
CUST-0178,52,89.47,5,0,3,16.5,0,1
CUST-0179,51,69.59,3,0,3,38.3,1,0
CUST-0180,35,89.31,4,2,3,21.7,1,0
CUST-0181,36,65.22,2,0,4,30.2,1,0
CUST-0182,27,68.65,1,3,5,21.6,0,0
CUST-0183,39,45.32,2,0,3,21.8,0,0
CUST-0184,12,72.15,2,0,4,17.3,0,0
CUST-0185,72,66.09,2,1,3,23.0,0,0
CUST-0186,15,41.55,3,0,4,24.5,1,0
CUST-0187,52,64.08,2,3,5,15.7,1,0
CUST-0188,69,63.56,1,1,4,21.0,1,0
CUST-0189,52,97.36,1,1,2,17.1,1,0
CUST-0190,72,81.1,1,1,4,40.4,1,0
CUST-0191,4,65.21,1,2,5,21.3,1,0
CUST-0192,21,69.48,4,1,3,34.4,1,1
CUST-0193,69,65.8,2,1,4,20.4,1,0
CUST-0194,10,61.35,1,0,3,24.1,1,0
CUST-0195,16,45.52,1,3,2,11.4,0,0
CUST-0196,43,62.28,2,0,4,18.4,0,1
CUST-0197,31,51.57,1,1,2,23.7,1,0
CUST-0198,41,42.49,2,0,3,34.7,1,0
CUST-0199,33,74.2,7,1,5,23.8,0,1
CUST-0200,35,72.04,3,0,2,33.1,0,1
CUST-0201,17,32.84,0,1,2,27.1,1,0
CUST-0202,34,62.79,2,1,2,35.0,1,0
CUST-0203,22,82.92,3,1,3,21.5,0,0
CUST-0204,24,84.07,6,1,3,41.1,0,1
CUST-0205,52,83.47,1,2,5,18.1,1,0
CUST-0206,10,65.7,3,0,4,15.9,1,0
CUST-0207,2,49.79,1,0,4,12.3,0,0
CUST-0208,49,45.49,1,0,4,40.6,1,0
CUST-0209,34,71.2,4,1,4,28.6,0,0
CUST-0210,69,71.83,2,1,3,19.3,1,0
CUST-0211,16,88.17,2,2,4,32.0,1,0
CUST-0212,28,84.8,2,0,2,27.5,1,0
CUST-0213,32,62.62,2,0,4,37.7,1,0
CUST-0214,19,42.6,1,1,5,9.6,0,1
CUST-0215,14,59.26,4,1,4,19.9,1,0
CUST-0216,51,68.91,0,2,3,18.3,0,0
CUST-0217,9,61.36,2,1,4,6.2,1,0
CUST-0218,12,54.6,1,1,1,30.5,0,1
CUST-0219,27,69.55,1,2,4,19.8,0,0
CUST-0220,55,55.93,2,1,3,27.9,1,0
CUST-0221,20,53.69,1,1,3,40.9,1,0
CUST-0222,18,70.61,3,1,4,19.2,0,1
CUST-0223,26,57.76,4,1,3,18.6,1,0
CUST-0224,38,69.39,3,0,2,22.9,0,0
CUST-0225,23,69.92,1,1,3,29.9,1,0
CUST-0226,60,44.49,1,2,4,17.5,1,0
CUST-0227,61,56.34,4,2,4,17.0,1,0
CUST-0228,27,90.88,1,0,4,30.5,0,0
CUST-0229,72,44.08,2,0,5,25.0,0,0
CUST-0230,31,26.9,2,0,2,5.6,1,0
CUST-0231,60,31.49,0,2,4,12.2,0,0
CUST-0232,38,65.52,1,1,5,34.0,0,0
CUST-0233,37,65.56,4,2,2,25.2,1,1
CUST-0234,7,62.88,1,0,4,15.9,1,0
CUST-0235,11,86.86,4,2,3,20.6,0,1
CUST-0236,24,20.0,5,0,3,22.1,0,0
CUST-0237,61,72.13,4,0,3,27.9,1,0
CUST-0238,38,93.11,2,2,3,11.1,0,1
CUST-0239,24,44.7,4,3,5,15.3,1,0
CUST-0240,46,58.16,3,1,2,24.2,0,0
CUST-0241,60,51.45,7,2,2,21.2,0,1
CUST-0242,30,48.9,1,2,2,26.6,0,1
CUST-0243,35,59.13,2,1,5,12.2,1,0
CUST-0244,32,90.69,4,0,3,24.9,1,0
CUST-0245,29,98.07,3,1,3,30.7,1,0
CUST-0246,16,58.95,1,1,3,25.9,1,0
CUST-0247,15,99.29,2,0,3,23.1,0,1
CUST-0248,45,65.64,1,1,3,21.2,1,0
CUST-0249,60,96.57,2,2,5,15.3,1,0
CUST-0250,24,63.32,2,3,5,21.4,1,0
CUST-0251,24,67.36,4,2,3,32.1,1,1
CUST-0252,5,71.58,2,3,4,21.0,1,1
CUST-0253,4,120.0,1,3,3,14.9,0,1
CUST-0254,71,80.32,0,0,2,18.1,0,0
CUST-0255,17,52.27,5,1,5,23.6,1,0
CUST-0256,72,82.44,2,1,5,19.0,0,0
CUST-0257,19,58.49,4,1,5,25.9,0,0
CUST-0258,7,56.18,4,2,3,26.2,1,1
CUST-0259,32,81.35,1,3,3,29.1,0,1
CUST-0260,51,65.56,1,1,4,33.4,1,0
CUST-0261,47,70.01,1,0,4,30.0,1,0
CUST-0262,54,65.25,1,3,3,14.5,1,0
CUST-0263,13,71.06,5,1,2,14.8,1,1
CUST-0264,70,72.65,2,3,4,21.4,0,0
CUST-0265,72,30.13,1,1,5,18.4,0,0
CUST-0266,72,77.0,2,3,2,12.9,0,0
CUST-0267,36,47.32,2,0,4,18.5,1,0
CUST-0268,23,39.04,2,0,4,18.2,1,0
CUST-0269,21,63.95,2,0,4,16.6,0,0
CUST-0270,7,66.51,3,2,4,19.5,1,1
CUST-0271,20,52.52,2,0,3,31.4,1,1
CUST-0272,2,79.96,2,0,2,23.6,1,1
CUST-0273,6,40.84,3,1,3,41.8,1,0
CUST-0274,36,57.68,2,1,4,23.4,1,1
CUST-0275,25,54.47,1,1,3,19.7,1,0
CUST-0276,35,64.16,3,2,3,22.0,0,0
CUST-0277,48,70.02,4,0,2,24.1,1,0
CUST-0278,39,46.86,4,3,5,25.5,1,0
CUST-0279,37,78.04,4,0,4,38.6,1,0
CUST-0280,28,66.13,2,2,4,15.2,1,0
CUST-0281,16,30.94,1,3,4,28.9,0,0
CUST-0282,10,29.75,0,0,4,23.7,1,0
CUST-0283,20,64.78,3,4,3,9.4,0,1
CUST-0284,28,61.02,1,1,3,28.2,0,1
CUST-0285,31,63.14,2,0,3,32.1,1,0
CUST-0286,54,64.5,2,0,5,15.1,0,0
CUST-0287,27,69.06,3,1,4,21.9,0,0
CUST-0288,44,82.06,4,0,3,8.2,1,0
CUST-0289,8,45.0,1,1,4,11.9,1,0
CUST-0290,36,43.9,7,0,2,30.4,1,0
CUST-0291,34,45.32,3,1,5,18.3,0,0
CUST-0292,70,70.2,5,2,3,13.1,0,1
CUST-0293,25,87.41,3,4,4,23.8,0,1
CUST-0294,24,57.24,2,2,5,17.8,0,0
CUST-0295,48,20.0,1,3,4,18.2,1,0
CUST-0296,11,34.33,2,0,4,27.9,0,0
CUST-0297,35,50.01,2,1,4,12.7,1,0
CUST-0298,10,54.96,0,1,3,14.8,0,0
CUST-0299,72,57.65,1,0,3,23.2,1,0
CUST-0300,22,65.69,2,1,3,29.8,1,1
